Comment;;;; Note 
film plutôt décevant! le rôle confié à Vincent Cassel ne lui va pas du tout; le seul intérêt de ce film est une certaine intrigue, mais c'est bien la seule chose qui le sauve de l'ennui totalla fin du film manque d'imaginationquant à la scène de combat dans le sauna avec Vigo Mortensen, montrant ses bijoux de famille, elle est d'une laideur et vraiment déplacée, même par les temps qui courent ...;;;; 1
Vraiment Excellent ! Très original et les acteurs joue parfaitement leur rôle ! Je le recommande ;);;;; 4.5
Cherchant encore un quelconque attrait pour Aftershock, j'avoue que je lui trouve très peu d'atouts. Si le film commence comme une virée sympa entre 3 potes avides de passer du bon temps au Chili, il bifurque après 35 (trop) longues minutes vers le survival pur et dur. Malheureusement pour les 6 vacanciers (3 filles se joignent a eux) tout va se liguer contre eux. La nature déchaînante, un téléphérique capricieux qui lâche au mauvais moment, une bande de détenus pré ou très légèrement post puber, et j'en passe... Le peu d'intérêt concernant l'histoire des personnages n'aide pas vraiment à l'attachement censé les lier au spectateur, leur sort nous importe peu et ce n'est le rebondissement final qui sauvera le film.;;;; 2
Un thème pas facile à traiter au cinéma sans tomber dans les clichés : pari réussi. Drôle et grave à la fois, comme la vie quoi !;;;; 4.5
Un très bon film , une histoire touchante et des cascades spectaculaires ! Ça reste un "film du dimanche" , à voir et à revoir !!!;;;; 5
Très bon film !Une certaine lenteur que je pense voulue pour installer l'athmosphère.La scène du cancer ne me choque pas, je pense qu'elle est destinée à faire sentir au personnage du mari le poids de la torture psychologique ressentie par l'"héroîne".Mais très bon suspens, malgré une bande son changeante et une fin qui semble baclée.;;;; 4
Excellent film d'action et de super-héros. L'histoire est finalement très bien tournée pour un troisième volet. De plus, une énorme travail pour la 3D se fait ressentir.Bref, M. Stark nous fait toujours autant rêver dans son univers de haute-technologie surprenant mais attachant.;;;; 4
Sérieux j'ai vu ce film il y a 6 mois et il est vraiment nul.Il n'y a rien de bien.Le scénar est vraiment povre et la qualité de l'image genre debut de la pellicule couleur nous gache le peu d'images interessantes.Certaines telles que la course poursuite dans la ville ou l'on manie un avion comme une voiture me laisse un peu perplexe...Et puis le grand méchant qui met son armée dans l' himalaya...c'est trop "debile".Vraiment nul.;;;; 5
L'histoire est déroutante. Cependant, on ne comprend pas tout à l'histoire et même à la fin, quelques détails restent assez sombres.;;;; 3
Vu dans sa version "Hard" (cependant seule la scène de la balançoire entre Marylin Jess et Christoph Clark crédité en tant que Gilbert Grosso a été "softisée" pour le cinéma), Un bon film pour moi.Lorsqu'au début Sylvia cherche à fuir Marc, cela suggère que c'est Emmanuelle qui fuit son mari Jean. Mya Nygren joue bien son rôle, la scène de lévitation avec Fabrice Luchini reste aussi assez culte. Il est marrant de voir ce mélange entre acteurs traditionnels, acteurs érotiques et acteurs Hard. A voir, mais pas inoubliable.;;;; 3
On passe un bon moment devant samba avec des pointes d'humour on s attache aux personnages  mais la Fin est décevante ...;;;; 3
Inutile.  Voilà le mot qui m'est venu en sortant de la salle. Non pas que le film soit mauvais, au contraire la réalisation est plutot originale (et le film n'est pas ennuyeux). Mais c'est la façon dont le sujet a été traité qui manque singulièrement d'intérêt. On connait tous l'histoire de ces fusillades, et ce film n'apporte rien de nouveau. Restez-en donc à l'excellent documentaire de Michael Moore Bowling for Columbine qui, lui, cherche à comprendre comment de tels drames peuvent arriver.;;;; 2.5
Petit bijou des frangins Coen, empli de magie, de justesse, de sourire, et d'émotions. Rare;;;; 4.5
Un très bon film qui plaira beaucoup aux amateurs du genre, une bonne tuerie qu'il tourne cependant au survival classiques qu'on a l'habitude de voir et avec un final à couper le souffle malgré que la toute fin laisse à desirer ...;;;; 4.5
Totalement inutile......c’est la seule femme que je connais  qui après avoir perdu les eaux , reste aussi longtemps en train de se battre sans accoucher.....;;;; 1
