Comment;;;; Note 
C'est mieux que tout.. Mieux que l'héro, mieux Que la coke, que le crack... Mieux Que le sexe, le 69, le kamasutra...;;;; 4
Ceci n’est certainement pas un film pour ceux qui cherche le goût du jour. Le reste se trouve merveilleusement plongé dans un chaos, dont la nature n’est ni maritime ni humaine ni animale ni machinale, bien que ses éléments soient la mer, des hommes, des animaux, des machines. Chaos, certes, produit par des images, mais par des images qui supprime le regard savant et préformé. Les maintes caméras attachées à la tête de pécheurs, aux machines, aux chaînes de filets, brouillent jour et nuit, eau et air, homme, mer et ses entrailles, sans que ce qu’elles captent soit soumis à la volonté des réalisateurs, sauf la volonté de ne rien imposer et de donner de la place à la force bouleversante de l’instantané. D’où que c’est une œuvre osé, surtout dans son refus de prendre parti de quoi que ce soit. La violence, la cruauté, la santé, l’amour, toute valeur humaine est anéantie dans le commerce quotidien qui détermine l’être-là. Ceux qui ont besoin d’une voix qui leur explique où ils sont ou bien où se positionner, quelle place occuper, ce qu’il faut approuver et ce qu’il faut nier, devaient s’absenter, ou bien y aller pour autant, au risque de catégoriser et juger comme d’habitude et de rater tout. Ceux qui éprouvent le moindre désir pour l’autre indéfini qu’est la vie telle quelle, avant que les catégories des opposés et de la contradiction ne lui soient imposées par l’autre défini qu’est la société, qui peut-être même se réclame de l’humanité, accordant de la pitié ou de la complaisance, vous trouverez ce que vous ne cherchez pas. Si ce film est de portée métaphysique, même les catégories d’être et ne pas être n’ont plus de valeur ici. Mais cela n’est pas un film non plus, c’est de la folie. Il n’y eut que quelques poètes capables ne pas seulement d’apercevoir, mais aussi d’exprimer cet être indéterminé dont la présence est autant extraordinaire qu’insignifiant, autant ravissante que fade, autant rare que quotidienne. Rimbaud par exemple, dont le « bateau ivre » semble si bien correspondre au tourbillon d’images qui est « Léviathan » : ...les clapotements furieux des marrées n’ont subi tohu-bohus plus triomphant...;;;; 5
1971.La TC Williams high school intègre les noirs dans l’établissement et donc dans son équipe de football. Avec ce postulat de départ , j’avais peur de voir un film rempli de bien-pensance ou de moralisme facileCe n’est  à mes yeux  pas le cas , et même si c’est plein de bons sentiments  , ce n’est absolument pas larmoyant.C’est rythmé , avec une  vraie énergie (pour une fois le mot n’est pas galvaudé ),il y a de l’émotion  mais on sourit aussi beaucoup et pour ma part , je me suis laissé entraîner par cette équipe et par son parcours.La B.O est parfaitement adaptée et fait plaisir à entendre.On croit vraiment à la relation qui se noue entre les 2 leaders de l'équipe, Julius Campbell et Gerry Bertier (on aurait même pu faire  un film sur ce dernier vu le destin qu’ il a eu)qui sont aussi dans l’école  les leaders de leur communauté respective et à la solidarité qui va finir par unir tous les joueurs. Evidemment Denzel Washington est parfait mais les autres acteurs sont loin d’être en reste ;beaucoup ont acquis de la notoriété depuis  et on a plaisir  à  les retrouver  içi dans des rôles secondaires.Mention spéciale pour Ethan Suplee et son personnage ,le seul à être "ouvert "dès le départ, qui en plus d'être enjoué et plein d'entrain , se révélera aussi touchant.Un film qui fait plaisir à voir !!;;;; 4
J'ai Beaucoup Aimé.Marion Cotillard Et Guillaume Canet Etaient Parfaits,Même Si Quelques Scènes Etaient Un Peu Cruelles,Et Qu'On A Du Mal A Croire Qu'après Toutes Ces Années Qu'ils Passent Sans Se Voir,Ils Ne Vieillissent PAS!!Mais Je Mets Quand Même 3 Etoiles Pour Des Scènes Maagnifiques Et Des Acteurs Parfaits;;;; 4
L'ascension ratée d'un ambitieux, portée par une musique envoûtante. Une  sarabande de Haendel, envoûtante, nous entraîne dans une douceur trompeuse, à l'image du mouvement d'ensemble du film . Des scènes d'intérieur pareilles à des tableaux baignés de lumière cuivrée, celle des bougies . .Un film superbe, à la triste beauté, celle d'une chute après tant d'espoirs ..;;;; 5
Cherchant encore un quelconque attrait pour Aftershock, j'avoue que je lui trouve très peu d'atouts. Si le film commence comme une virée sympa entre 3 potes avides de passer du bon temps au Chili, il bifurque après 35 (trop) longues minutes vers le survival pur et dur. Malheureusement pour les 6 vacanciers (3 filles se joignent a eux) tout va se liguer contre eux. La nature déchaînante, un téléphérique capricieux qui lâche au mauvais moment, une bande de détenus pré ou très légèrement post puber, et j'en passe... Le peu d'intérêt concernant l'histoire des personnages n'aide pas vraiment à l'attachement censé les lier au spectateur, leur sort nous importe peu et ce n'est le rebondissement final qui sauvera le film.;;;; 2
La musique semble fondue dans le film, tant elle l'intensifie. Les acteurs sont parfaits : Ryan O'neal et Marisa Berenson ressentent leur souffrance plus qu'ils ne la jouent. Chaque scène du film est magnifique: Barry Lyndon est un chef-d'oeuvre.;;;; 4.5
ce film est une splendeur il est envoûtant de par son rythme la musique ,les décors. L'histoire est cruelle et d'une force impressionnante. film culte;;;; 5
Ce téléfilm est une petite merveille! Je me suis fait transportée par l'histoire! Vraiment dommage qu'il ne soit pas disponible en DVD;;;; 5
barry lindon est un film exeptionel ,visulement magnifique ayant une force que aucun film ne possede une belle mise en scene pour des acteur d'exeption  ,un trés bon scenario .l'histoir d'une modeste  perssonne devenant au fil du temps une perssonne plaine de pouvoirs   mais avant tout il devien detestable et il est puni par la vie  bravo ou grand kubrick;;;; 5
Film comique avec des scènes plutôt marantes. A voir avec ses potes un soir.PS : Hello, Mac. :);;;; 2.5
Attiré par la quantité de "4*" données à ce film, j'ai donc voulu le regarder, et j'ai été fortement déçu.Déjà, l'atmosphère "pseudo psychédélique" du début (qui n'est pas sans rappeler, sans arriver à la cheville, celle de l'opéra rock "Tommy") m'a dérangé, et ensuite l'histoire est sans queue ni tête, jusqu'au "bouquet final" d'ensevelissement vivant.....Donc, un conseil, si ce film repasse à la TV (je l'ai regardé hier soir sur M6), zappez (à moins que vous n'ayez des soucis d'endormissement);;;; 1
